UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joaquín,@Joaquinhdh,2022-10-03T23:00:09.000Z,"Joaquín
@Joaquinhdh
·
Oct 3, 2022","Y a Hermosillo no puede ser que siempre que nos arbitra nos vacuna con al menos un gol viciado, dejó jugar gratis al cerdo culiao de Torres",👑,1,,1,[],https://twitter.com/Joaquinhdh/status/1577071031310614529
Inocencio Madrazo,@InocencioMadra1,2022-10-04T20:24:12.000Z,"Inocencio Madrazo
@InocencioMadra1
·
Oct 4, 2022","Replying to 
@_VicenteSerrano
 @luisghernan
 and 
@nayaroldan",,,,,[],https://twitter.com/InocencioMadra1/status/1577394174273298432
pedro palacios,@Bbataelpit,2022-10-04T03:13:34.000Z,"pedro palacios
@Bbataelpit
·
Oct 3, 2022","Replying to 
@DonVocero",,,1,9,[],https://twitter.com/Bbataelpit/status/1577134808748421120
Inocencio Madrazo,@InocencioMadra1,2022-10-04T19:21:19.000Z,"Inocencio Madrazo
@InocencioMadra1
·
Oct 4, 2022","Replying to 
@_VicenteSerrano
 @SinLinea_Mx
 and 2 others",,,,1,[],https://twitter.com/InocencioMadra1/status/1577378351211233287
Rene Glez M,@superferozz,2022-10-04T03:01:42.000Z,"Rene Glez M
@superferozz
·
Oct 3, 2022","Replying to 
@MeirPalaciosFr
 @PRI_Nacional
 and 2 others",,,,,[],https://twitter.com/superferozz/status/1577131819975069696
Alfredo Banda,@aba00,2022-10-04T22:41:55.000Z,"Alfredo Banda
@aba00
·
Oct 4, 2022",Pobre cerdo,🤡,,,,['https://pbs.twimg.com/profile_images/1194388436792283138/TJmzpjrL_mini.jpg'],https://twitter.com/aba00/status/1577428833204318208
Taco árabe con jocoque,@Peralta1474,2022-10-04T22:35:55.000Z,"Taco árabe con jocoque
@Peralta1474
·
Oct 4, 2022","Replying to 
@LauraMex
 @Jose_A_Palmieri
 and 2 others",😋,,,1,[],https://twitter.com/Peralta1474/status/1577427320994136065
Inocencio Madrazo,@InocencioMadra1,2022-10-04T19:26:15.000Z,"Inocencio Madrazo
@InocencioMadra1
·
Oct 4, 2022","Replying to 
@_VicenteSerrano
 and 
@AlinaDuarte_",,,,,[],https://twitter.com/InocencioMadra1/status/1577379589659234304
Fito,@zumburulullo,2022-10-04T01:12:56.000Z,"Fito
@zumburulullo
·
Oct 3, 2022","Replying to 
@luisuxanz
 and 
@BabhiMeneses",,1,,,['https://pbs.twimg.com/card_img/1631370080557858817/ToO0MATk?format=jpg&name=small'],https://twitter.com/zumburulullo/status/1577104450740572161
El Perro Fantasma,@prrofantasma,2022-10-04T20:19:10.000Z,"El Perro Fantasma
@prrofantasma
·
Oct 4, 2022",Soy un cerdo pero de los que buscan trufas.,,1,,25,[],https://twitter.com/prrofantasma/status/1577392910001410048
José luis lunajose700@hotmail.com,José luis lunajose700@hotmail.com,2022-10-04T04:04:03.000Z,"José luis lunajose700@hotmail.com
@lunajose700
·
Oct 3, 2022","Replying to 
@LillyTellez",,,,,[],https://twitter.com/lunajose700/status/1577147511692722177
Victor Qr,@VictorQr13,2022-10-04T04:32:20.000Z,"Victor Qr
@VictorQr13
·
Oct 3, 2022","Replying to 
@GabbyPJ73",,,,2,['https://pbs.twimg.com/tweet_video_thumb/FeMtw4yWQAE0c4d.jpg'],https://twitter.com/VictorQr13/status/1577154628952608768
Héctor G. Mújica,@hector_mujica27,2022-10-04T05:56:19.000Z,"Héctor G. Mújica
@hector_mujica27
·
Oct 4, 2022","Replying to 
@MARIACLEMENTEMX",,,,1,[],https://twitter.com/hector_mujica27/status/1577175765828845569
Lala Noguera,@lalanoguera,2022-10-04T02:22:39.000Z,"Lala Noguera
@lalanoguera
·
Oct 3, 2022","Replying to 
@adolfovera10
 and 
@antoniolaveaga",,,,1,[],https://twitter.com/lalanoguera/status/1577121993845248000
